run,dataset,target,method,seed,mean_score,max_score,min_score,median_score,diversity,unique_mutation_sites,seed_similarity,seed_novelty,best_delta_target_score,mean_delta_target_score_top_k
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed44,structural_plus,Pseudomonas,entropy_diversity,44.0,0.2813519096096915,0.3249375912956388,0.2272524429344502,0.2794890219175706,11.236734693877551,34.0,0.9990922081470488,0.000907791852951,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_plus_random_diversity_seed42,structural_plus,Pseudomonas,random_diversity,42.0,0.2606216480887109,0.2856250160489484,0.2188989251971964,0.2580711201775622,13.15265306122449,110.0,0.9994705498218536,0.0005294501781463,0.16454084041763506,0.14923308870367272
kleb_to_pseudomonas_structural_plus_random_diversity_seed43,structural_plus,Pseudomonas,random_diversity,43.0,0.2518918478100909,0.2743905020838259,0.2431995816505796,0.250289187717901,16.173061224489796,104.0,0.9993669545650482,0.0006330454349517,0.15330632645251258,0.14290438619688348
kleb_to_pseudomonas_structural_plus_random_diversity_seed44,structural_plus,Pseudomonas,random_diversity,44.0,0.2425669354253852,0.2774265634807126,0.2319988987380611,0.2397806362019807,16.358367346938774,100.0,0.9995585858821868,0.000441414117813,0.15634238784939924,0.1373389736803449
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed42,structural_plus,Pseudomonas,random_no_diversity,42.0,0.2612948893289545,0.2856250160489484,0.2525609872093715,0.2580711201775622,12.835918367346938,108.0,0.9994652364,0.0005347657208,0.16454084041763506,0.15395010697735267
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed43,structural_plus,Pseudomonas,random_no_diversity,43.0,0.2518918478100908,0.2743905020838259,0.2431995816505796,0.250289187717901,16.173061224489796,104.0,0.9993669534,0.0006330454355999,0.15330632645251258,0.14330858980477335
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed44,structural_plus,Pseudomonas,random_no_diversity,44.0,0.2425669354253852,0.2774265634807126,0.2319988987380611,0.2397806362019807,16.358367346938774,100.0,0.9995585848,0.0004414141154,0.15634238784939924,0.1373389736803449
kleb_to_pseudomonas_structural_random_diversity_seed42,structural,Pseudomonas,random_diversity,42.0,0.2606216480887109,0.2856250160489484,0.2188989251971964,0.2580711201775622,13.15265306122449,110.0,0.9994705498218536,0.0005294501781463,0.16454084041763506,0.14923308870367272
kleb_to_pseudomonas_structural_random_diversity_seed43,structural,Pseudomonas,random_diversity,43.0,0.2518918478100909,0.2743905020838259,0.2431995816505796,0.250289187717901,16.173061224489796,104.0,0.9993669545650482,0.0006330454349517,0.15330632645251258,0.14290438619688348
kleb_to_pseudomonas_structural_random_diversity_seed44,structural,Pseudomonas,random_diversity,44.0,0.2425669354253852,0.2774265634807126,0.2319988987380611,0.2397806362019807,16.358367346938774,100.0,0.9995585858821868,0.000441414117813,0.15634238784939924,0.1373389736803449
kleb_to_pseudomonas_structural_random_no_diversity_seed42,structural,Pseudomonas,random_no_diversity,42.0,0.2612948893289545,0.2856250160489484,0.2525609872093715,0.2580711201775622,12.835918367346938,108.0,0.9994652364,0.0005347657208,0.16454084041763506,0.15395010697735267
